round_epochs,val_loss,loss,epochs,batch_size
25,0.0010923169801719279,0.0011824050975227,25,32
50,0.0010825734017755025,0.001190707675830551,50,32
50,0.0011304227364793884,0.0011581523869444766,50,50
10,0.0010832280230151708,0.0012471124004244814,10,16
25,0.0010857915638441313,0.0012417712284542512,25,16
50,0.0010802570246576265,0.0013223184303728158,50,8
10,0.0012321474547897903,0.0011891868724441727,10,50
10,0.0011371646272200654,0.0013518057130383085,10,8
25,0.0010959482771297658,0.001316715781296782,25,8
25,0.0011713508159337128,0.0011568106456546282,25,50
10,0.0010853425948230248,0.001206369700284652,10,32
50,0.0010800626517179833,0.0012146102371008158,50,16
